-15.82594,-47.92923
-15.82594,-47.92923
-15.82591,-47.92919
-15.82588,-47.92915
-15.82585,-47.92911
-15.82582,-47.92907
-15.82579,-47.92903
-15.82576,-47.92899
-15.82573,-47.92895
-15.82570,-47.92891
-15.82567,-47.92887
-15.82564,-47.92883
-15.82561,-47.92879
-15.82558,-47.92875
-15.82555,-47.92871
-15.82552,-47.92867
-15.82549,-47.92863
-15.82546,-47.92859
-15.82543,-47.92855
-15.82540,-47.92851
-15.82537,-47.92847
-15.82534,-47.92843
-15.82531,-47.92839
-15.82528,-47.92835
-15.82525,-47.92831
