-15.82594,-63.75517
-15.82594,-63.75517
-15.82591,-63.75510
-15.82588,-63.75503
-15.82585,-63.75496
-15.82582,-63.75489
-15.82579,-63.75482
-15.82576,-63.75475
-15.82573,-63.75468
-15.82570,-63.75461
-15.82567,-63.75454
-15.82564,-63.75447
-15.82561,-63.75440
-15.82558,-63.75433
-15.82555,-63.75426
-15.82552,-63.75419
-15.82549,-63.75412
-15.82546,-63.75405
-15.82543,-63.75398
-15.82540,-63.75391
-15.82537,-63.75384
-15.82534,-63.75377
-15.82531,-63.75370
-15.82528,-63.75363
-15.82525,-63.75356
